Package,Version,Application,Source
aacgmv2,2.6.0,AACGM magnetic coordinate system,https://pypi.org/project/aacgmv2/
apexpy,1.0.3,Apex magnetic coordinate system,https://pypi.org/project/apexpy/
astropy,3.2.1,Packages for use in astronomy,https://www.astropy.org/
basemap,1.2.0,Mapping,https://matplotlib.org/basemap/
bokeh,2.0.2,Interactive visualization library,https://bokeh.pydata.org/en/latest/
cartopy,0.18.0,Mapping,https://scitools.org.uk/cartopy/docs/latest/
h5py,2.10.0,HDF5 binary data format,https://www.h5py.org/
madrigalweb,3.1.12,Accessing the Madrigal database,http://cedar.openmadrigal.org/docs/name/rr_python.html
mangopy,0.1,MANGO data analysis,https://github.com/astib/MANGO
matplotlib,3.2.1,Basic plotting,https://matplotlib.org/
netcdf4,1.5.3,netCDF4 data format,https://unidata.github.io/netcdf4-python/netCDF4/index.html
numpy,1.18.4,Numerical array handling,http://www.numpy.org/
pandas,1.0.3,Data analysis,https://pandas.pydata.org/
plasmapy,0.3.1,Package for plasma research,https://www.plasmapy.org/
pydarn,1.0.0.1,Library for data visualization of SuperDARN data.,https://pydarn.readthedocs.io/en/master/
pyglow,0.0.0,Upper atmosphere climatological models,https://github.com/timduly4/pyglow
pymongo,3.10.1,Tools for working with MongoDB,https://api.mongodb.com/python/current/
scipy,1.4.1,Advanced mathematical operations,https://www.scipy.org/
sgp4,2.8,Propagation of satellite TLEs,https://pypi.org/project/sgp4/
spacepy,0.2.1,Data analysis tools for space-based datasets,https://pythonhosted.org/SpacePy/
sqlalchemy,1.3.17,Database tool kit,https://www.sqlalchemy.org/
sympy,1.5.1,Symbolic computation,https://www.sympy.org/en/index.html
tables,3.6.1,HDF5 binary data format,https://pypi.org/project/tables/
viresclient,0.6.1,Interface to access ESA's Swarm data and models,https://pypi.org/project/viresclient/
visuamisr,2.0.3,Read and visualize AMISR data,https://github.com/asreimer/visuamisr
